done,Assignment,Assignment (german),Description,Description (german),Keywords,Keywords (german),fundamentals,Fundamentales,Format,Format german,Effort (min),Level,Skill,Credits,Learning Outcome,Learning Outcome (german),Hints,Hints (german),Assessment,Assessment (german),Video time,missing videos
yes,Chemical composition of the meteorties,Chemische Zusammensetzung der Meteorite,"We use the chemical composition of meteorites to learn about the formation and evolution of the protoplanetary disk, from which our planetary system formed. The composition of the meteorites is the result of the composition of the meteorite parent body formation region and subsequent processes, which primarily occurred on the meteorite parent bodies. The meteorite composition is one way of meteorite classification, which means, this classification contains information about the meteorite formation regions. Learn about the chemical composition of meteorites and what we can learn from this about their formation and evolution.","Aus der chemischen Zusammensetzung der Meteorite lernen wir etwas über die Entstehung und Entwicklung der protoplanetaren Scheibe, aus der unser Planetensystem entstand. Die Zusammensetzung der Meteorite ist das Ergebnis der Zusammensetzung der Meteoriten-Mutterkörper-Bildungsbereiche, sowie anschließender Prozesse, die primär auf den Meteoriten-Mutterkörpern stattfanden. Meteorite werden unter anderem aufgrund ihrer Zusammensetzung klassifiziert, die damit Information über deren Bildungsbereiche enthalten. Lerne über die chemische Zusammensetzung der Meteorite, und was wir daraus über deren Bildung und Entwicklung lernen.","meteorite, compositino, formation, evolution, parent body, classification","meteorit, zusammensetzung, bildung, entwicklung, mutterkörper, klassifikation",fundamentals,Fundamentales,Video (7-15 minutes) or Essay (600-1000 words),Video (7-15 minutes) or Essay (600-1000 words),90,advanced,2,4,"Explain the key importance of the CI-chondrites for cosmo- but also geochemistry. Recall the meaning of ›cosmochemical abundance of the elements‹, and describe this. Name the 10 most abundant elements, their relative abundance and cosmochemical character (-> needs to be known). Generally illustrate the element abundance of the various meteorite groups. Relate the meteorite compositions to their formation. Describe the meteorite volatile depletion and give mechanisms how these formed.","Erkläre die zentrale Bedeutung der CI-Chondrite für die Kosmo- aber auch Geochemie. Erinnere Dich, was ›kosmische Häufigkeit der Elemente‹ bedeutet, und beschreibe diese. Nenne die 10 häufigsten Elemente, deren relative Häufigkeiten, sowie kosmochemischen Charakter (-> muss bekannt sein). Illustriere in groben Zügen die Element-Zusammensetzungen in den verschiedenen Meteoriten-Gruppen. Setzte die Meteoriten-Zusammensetzungen in Bezug zu deren Bildung. Beschreibe die Volatil-Verarmung in Meteoriten, und nenne Gründe, wie diese entstand.","The fundamental Element-Correlation Solar Photosphere vs. CI Chondrites,CI Chondrite Element Abundances,Mean Bulk Element Compositions of the Various Chondrite Groups,Classification and Comparison by Bulk Chondrite Composition,Volatile Element Depletion in Carbonacous Chondrites,The Urey-Craig Diagram","Die fundamentale Element-Korrelation Solare Photosphäre vs. CI Chondrite,Häufigkeit der Elemente in CI Chondriten,Mittlere Element-Zusammensetzung der verschiedenen Chondrit-Gruppen,Klassifikation und Vergleich der Gesamtzusammensetzung der Chondrite,Volatil-Verarmung in Kohligen Chondriten,Das Urey-Craig Diagramm",summative,fasse zusamme,"6 Videos, 37+? min",
yes,Presenting isotopes and their compositions,Darstellung der Isotope und deren Zusammensetzungen,"The isotope composition of a meteorite, mineral, etc. is given differently than that of a chemical element composition. One reason is that the ratio of two isotopes is independent of the abundance of other isotopes of the same element (for the same reason elements are normalised). There are, however, also analytical necessities for this. Learn and explain isotope notations and, why this kind of notations have been chosen.","Die Isotopen-Zusammensetzung eines Meteoriten, Minerals, etc. wird anders angegeben als deren chemische Element-Zusammensetzung. Das hängt unter anderem damit zusammen, dass das Verhältnis zweier Isotope unabhängig ist von der Häufigkeit möglicher weiterer Isotope desselben Elements (aus demselben Grund wird die Elementzusammensetzung normiert). Es gibt dafür aber auch eine analytische Notwendigkeit. Lerne und erkläre wie Isotope notiert werden und warum diese Art der Notation gewählt wurde.","isotope, notation, approximation, ln, delta","isotop, notation, näherung, Ln, delta",fundamentals,Fundamentales,Short Video (5-10 minutes) or Essay (300-600 words),Short Video (5-10 minutes) or Essay (300-600 words),60,basic,2,2,Explain why isotopes are presented as ratios and not absolute values. Give arguments why isotope ratios are presented relative to a standard. Confident usage and explanation of the various stable and radioactive isotope notations. Explain the approximation a-1 = Ln(a).,"Erkläre weshalb Isotope als Verhältnisse und nicht als absolute Werte angegeben werden. Argumentiere, warum Isotopen-Verhältnisse relativ zu einem Standard angegeben werden. Sicheres Umgehen und Erklären der verschiedenen stabilen und radioaktiven Isotopen Notationen. Erkläre die Näherung a-1 = Ln(a).","Isotope Notation,The approximation a-1 = Ln(a),Isotope Notation – Capital Delta,Isotope Notation of Radioactive Elements","Isotopen Notation,Die Näherung a-1 = Ln(a),Isotopen Notation – Groß Delta,Isotopen Notation Radioaktiver Isotope",summative,fasse zusamme,"4 Videos, 30 min",
yes,Isotope composition of the meteorites,Isotopische Zusammensetzung der Meteorite,"The isotope composition of bulk meteorites is used to identify various meteorite formation regions. In this way, meteorite bulk isotope compositions are used as classification properties. Two often used schemes are oxygen isotopes and nucleosynthetic anomalies. These two schemes are principally different. Learn the difference between these schemes, explain how these are used, and what can be learned from these for our understanding of the protoplanetary disk.","Die Isotopen-Zusammensetzung von Gesamt-Meteoriten wird genutzt, um unterschiedliche Bildungsregionen der Meteorite zu identifizieren. Damit dient sie gleichzeitig als Klassifikationsmerkmal. Zwei häufig genutzte Schemata dafür sind einmal die Sauerstoff-Isotope, und zum Anderen nukleosynthetische Anomalien. Diese beiden Schemata sind prinzipiell verschieden. Lerne den Unterschied dieser Schemata, erkläre wie diese verwendet werden und was aus diesen für unser Verständnis der protoplanetaren Scheibe abgeleitet werden kann.","isotope, bulk, oxygen, nucelosynthetic, classification, mass dependent, mass independent","isotop, gesamt, bulk, sauerstoff, nukleosynthetisch, klassifikation, massenabhängig, massenunabhängig",fundamentals,Fundamentales,Short Video (5-10 minutes) or Essay (300-600 words),Short Video (5-10 minutes) or Essay (300-600 words),45,basic,2,2,"Explain the various slopes in the the oxygen 3-isotope-plot Explain mass(in)dependent fractionation. Describe how oxygen isotopes are used for meteorite classification, and where meteorites, but also other components as well as the Sun plot in the oxygen 3-isotope plot. Provide arguments to explain the nucleosynthetic meteorite dichotomy, thereby relating this to presolar grains and a possible structuring of the protoplanetary disk, as well as the influence of Jupiter on this hypothetical structuring.","Erkläre die verschiedenen Steigungen im Sauerstoff 3-Isotopen-Plot. Erkläre massen(un)abhängige Fraktionierung. Beschreibe, wie Sauerstoff-Isotope als Meteoriten-Klassifikation genutzt werden, und wo sich die verschiedenen Meteorite, aber auch weitere Komponenten, sowie die Sonne im Sauerstoff 3-Isotopen-Plot finden. Argumentiere, wie die nukleosynthetische Dichotomie der Meteorite entstand, und setze diese dabei in Bezug zu präsolaren Körnern und einer möglichen Strukturierung der protoplanetaren Scheibe, sowie dem Einfluss Jupiters auf diese hypothetische Strukturierung.","Classification and the Oxygen (O) 3-Isotope Plot,Bulk Meteorite Nucleosynthetic Isotope Dichotomy","Klassifikation und der Sauerstoff (O) 3-Isotopen Plot,Gesamt-Meteorit Nukleosynthetische Isotopen Dichotomie",summative,fasse zusamme,"2 Videos, 12 min",
yes,The chondrite components,Die Komponenten der Chondrite,"Chondrites contain primitive material that directly formed in the protoplanetary disk and was subsequently not at all to strongly altered in the meteorite parent body. Individual meteorite components allow reconstructing the structure, formation, evolution, chronology, etc. of the protoplanetary disk. It is therefore pivotal to know the various chondrite components. Learn about the various chondrite components and describe these. It might be very helpful to do this using sketches.","Chondrite enthalten primitives Material, das direkt in der protoplanetaren Scheibe gebildet, und darauf folgend im Meteoriten-Mutterkörper gar nicht bis stark verändert wurde. Die einzelnen Komponenten der Chondrite erlaubt direkte Rückschlüsse auf die Struktur, Bildung, Entwicklung, Chronologie, usw. der protoplanetaren Scheibe. Es ist daher von zentraler Bedeutung, die verschiedenen Komponenten der Chondrite zu kennen. Informiere Dich über die verschiedenen Chondrit-Komponenten, und beschreibe diese am Besten mit Hilfe von Zeichnungen.","chondrite, component, mineral, classification, structure, texture","chondrit, komponente, mineral, klassifikation, struktur, textur",fundamentals,Fundamentales,Short Video (5-10 minutes) or Essay (300-600 words),Short Video (5-10 minutes) or Essay (300-600 words),80,basic,2,4,"Describe the general structure and texture of chondrites. Name and describe their components, including their general mineralogy, and how chondrites vary in their component abundances.","Beschreibe die allgemeine Struktur und Textur der Chondrite. Nenne und beschreibe deren Komponenten, inklusive deren genereller Mineralogie, und wie sich die Chondrite in der Häufigkeit ihrer Komponenten unterscheiden.","The Various Chondrites and their Components,Structure of Bulk Chondrites in 3D,Fundamental Properties of Chondrites,Structure and Appearance of Chondrite Matrices","Die verschiedenen Chondrite und ihre Komponenten,Struktur von Gesamt-Chondriten in 3D,Generelle Eigenschaften der Chondrite,Struktur und Erscheinungsbild von Chondrit-Matrices",summative,fasse zusamme,"4 Videos, 38 min",
yes,Structure and classification of chondrules,Struktur und Klassifikation der Chondren,Chondrules are one of the two major components in almost all chondrites. Their formation ranges among the most important questions in cosmochemistry. Solving this question should allow to understand one of the most important and wide spread processes in the protoplanetary disk. Chondrule textures provide ample evidence of the conditions during chondrule formation. Study the various chondrule textures and use this to describe what these tell us about the chondrule formation conditions.,"Chondren sind eine von zwei Hauptkomponenten in fast allen Chondriten. Deren Entstehung gehört zu den wichtigsten Fragen der Kosmochemie, um damit einen der offensichtlich häufigsten und wichtigsten Prozesse in der protoplanetaren Scheibe zu verstehen. Die Textur der Chondren gibt viele Hinweise auf deren Entstehungsbedingungen. Studiere die verschiednen Chondren-Texturen an und beschreibe, was daraus über die Chondren-Entstehungsbedingungen gelernt werden kann.","chondrule, structure, texture, type, formation, condition, classification","chondre, struktur, textur, typ, bildung, bedingung, klassifikation",fundamentals,Fundamentales,Short Video (5-10 minutes) or Essay (300-600 words),Short Video (5-10 minutes) or Essay (300-600 words),70,basic,2,3,Name and describe the various chondrule texture types and classifications. Explain and provide evidence for the formation of the various chondrule textures.,Nenne und beschreibe die verschiedenen Chondren Textur-Typen und -Klassifikationen. Erkläre und gib Belege für die Entstehung der unterschiedlichen Chondren-Texturen.,"Structure of Individual Chondrules in 3D,Chondrule Classification – Textural Types,Mineralogically Zoned Chondrules,Chondrule Classification – Type I and Type II,Chondrule Classification – Sub-Types A-AB-B","Struktur einzelner Chondren in 3D,Chondren Klassifikation – Textur-Typen,Mineralogisch zonierte Chondren,Chondren Klassifikation – Typ I und Typ II,Chondren Klassifikation – Sub-Typen A-AB-B",summative,fasse zusamme,"5 Videos, 23+? min",Struktur einzelner Chondren in 3D
yes,Sizes and size-distributions of chondrules,Größen und Größenverteilungen der Chondren,"Chondrules have distinct size distributions and variable mean sizes in the various chondrite groups. Have a look how the chondrule size distributions look like, and what can be learned from these for chondrule formation.","Chondren haben bestimmte Größenverteilungen und unterschiedliche, mittlere Größen in den verschiedenen Chondrit-Gruppen. Schaue Dir an, wie die Chondren-Größenverteilungen aussehen, und was sich daraus über die Chondren-Bildung lernen lässt.","chondrule, size, distribution, formation","chondre, größe, verteilung, bildung",fundamentals,Fundamentales,Brief Video (3-5 minutes) or Essay (100-200 words),Brief Video (3-5 minutes) or Essay (100-200 words),40,basic,2,1,Roughly recall the chondrule sizes in the various chondrites. Describe the chondrule size distributions and argue what can be learned from this from this for chondrule formation. Explain the difference between the 2D and 3D chondrule size distributions.,"Kenne ungefähr die Chondren-Größen in den verschiedenen Chondriten. Beschreibe die Chondren-Größenverteilungen und argumentiere, was sich daraus für die Chondren-Bildung ableiten lässt. Erkläre den Unterschied in den 2D und 3D Chondren-Größenverteilungen.","Mean Chondrule Sizes in the various Chondrite Groups,Chondrule Size Distributions,Chondrule Size Distributions in 2D and 3D","Mittlere Chondren-Durchmesser in den verschiedenen Chondrit-Gruppen,Chondren Größen-Verteilungen,Chondren Größen-Verteilungen in 2D und 3D",summative,fasse zusamme,"3 Videos, 6+? min",Chondren Größen-Verteilungen in 2D und 3D
yes,Element composition of chondrules,Element-Zusammensetzungen der Chondren,"Chondrules of a chondrule population in a chondrite have variable bulk compositions, hence, are not all the same. This is already evident from the chondrule classification into type I, II, and A, AB,B, respectively (-> these need to be known). Bulk chondrule compositions in chondrule populations of individual chondrites have distinct distributions. Also, bulk chondrules have typical REE patterns. Learn about bulk compositions of chondrules in chondrule-populations in chondrites, and what can be learned from these for chondrule formation conditions as well as locations. Use MetBase to construct a plot displaying the distribution of bulk chondrule compositions in various chondrites.","Die Chondren der Chondren-Population eines Chondriten sind nicht alle gleich zusammengesetzt, sondern unterschiedlich. Das ist unter anderem schon in der Chondren-Klassifikation in Typ I, II, bzw. A, AB, B erkennbar (-> diese müssen bekannt sein). Die Gesamtzusammensetzungen der  Chondren in Chondren-Populationen individueller Chondrite zeigen dabei eine bestimmte Verteilung. Ebenso haben SEE typische Muster in Chondren. Informiere Dich über die Gesamtzusammensetzungen von Chondren und Chondren-Populationen in Chondriten und was sich daraus über die Bildungsbedingungen und -regionen der Chondren ableiten lässt. Verwende außerdem MetBase, um selbst ein Diagramm der Verteilung von Chondren-Zusammensetzungen in verschiedenen Chondriten anzufertigen.","chondrule, population, distribution, bulk, composition, REE, fromation, condition, location, region, metbase","chondre, population, verteilung, bulk, gesamt, zusammensetzung, SEE, bildung, bedingung, ort, region, metbase",fundamentals,Fundamentales,Short Video (5-10 minutes) or Essay (300-600 words),Short Video (5-10 minutes) or Essay (300-600 words),60,basic,2,3,Recall approximate compositional intervals of important elements of a typical chondrule population of a single chondrite. Describe the distribution of bulk chondrule compositions of the chondrule population in a single chondrite. Describe the REE patterns and abundances in bulk chondrules. Explain why chondrules in a single chondrite have variable bulk compositions. Demonstrate from how many different reservoirs chondrules of a single chondrite originate. Apply MetBase to specific problems.,"Nenne ungefähre Zusammensetzungsintervalle wichtiger Elemente einer typischen Chondren-Population eines Chondriten. Beschreibe die Verteilung der Gesamtzusammensetzungen der Chondren-Population eines Chondriten. Zusammensetzungen eines Chondriten. Beschreibe die Muster und Häufigkeiten von SEE in Gesamt-Chondren. Erkläre, weshalb Chondren in einem Chondrit unterschiedliche Gesamt-Zusammensetzungen haben. Begründe, aus wie viel verschiedenen Reservoiren Chondren eines Chondriten stammen. Anwendung von MetBase auf konkrete Fragestellungen.","Bulk Chondrule Element Distributions,REE Composition of Bulk Chondrules","Gesamt-Chondren Element Verteilungen,SEE Gesamtzusammensetzung von Chondren",summative,fasse zusamme,,
yes,Isotope composition of chondrules,Isotopen-Zusammensetzungen der Chondren,"Chondrules have variable bulk isotope compositions, which can be highly variable for the various elements. This mostly depends on the process that fractionated the isotopes. The bulk isotope compositions of chondrules in a single chondrite often show a distinct distribution. Learn about bulk chondrule isotope compositions and distributions, and what can be learned from these about chondrule formation conditions and regions.","Die Chondren haben unterschiedliche Isotopen-Gesamtzusammensetzungen. Die Unterschiede dieser Isotopen-Gesamtzusammensetzungen können für verschiedene Elemente sehr unterschiedlich sein. Das hängt in der Regel damit zusammen, welcher Prozess die Isotope fraktioniert hat. Die Isotopen-Gesamtzusammensetzungen der Chondren in einem Chondrit zeigen oftmals eine bestimmte Verteilung. Schaue Dir die Isotopen-Zusammensetzung von Chondren und deren Verteilung in einem Chondriten an, und was daraus über die Bildungsbedingungen und -regionen der Chondren abgeleitet werden kann.","isotope, chondrule, population, distribution, bulk, composition, fromation, condition, location, region","isotop, chondre, population, verteilung, bulk, gesamt, zusammensetzung, bildung, bedingung, ort, region",fundamentals,Fundamentales,Brief Video (3-5 minutes) or Essay (100-200 words),Brief Video (3-5 minutes) or Essay (100-200 words),45,basic,2,2,Recall bulk chondrule isotope intervals of important elements. Relate the width of such intervals to the mechanism of isotope fractionation processes. Describe the distribution of bulk chondrule isotope compositions. Use the bulk chondrule isotope compositions as evidence for their formation from a common reservoir.,Nenne Intervalle von Gesamt-Chondren Isotopen-Zusammensetzung wichtiger Elemente. Setze die Breite der Isotopen-Intervalle in Bezug zum Mechanismus der Isotopen-Fraktionierungsprozesse. Beschreibe die Verteilung der Gesamt-Chondren Isotopenzusammensetzungen der Chondren-Population eines Chondrites. Belege anhand der Isotopen-Zusammensetzung der Chondren deren Bildung aus einem gemeinsamen Reservoir.,"Bulk Chondrule Stable Isotope Compositions,Bulk Chondrule Isotope Distributions","Stabile Isotopen-Zusammensetzungen von Gesamt-Chondren,Gesamt-Chondren Isotopen Verteilungen",summative,fasse zusamme,,Gesamt-Chondren Isotopen Verteilungen
yes,Petrology and phase diagrams for chondrules,Petrologie und Phasendiagramme für Chondren,"Chondrules are ultramafic systems, resembling Earth’s mantle – plus metal and sulphides. Chondrule petrology and crystallisation are therefore best described in similar phase diagrams as used for basalts. Familiarise yourself with appropriate phase diagrams for chondrules and describe typical crystallisation paths for these, to explain their observed phases and phase relationships.","Chondren sind ultramagische System und ähneln darin dem Erdmantel – plus Metall und Sulfide. Die Petrologie und Kristallisation der Chondren werde daher am Besten in ähnlichen Phasendiagrammen wiedergeben, wie sie auch für Basalte verwendet werden. Mache Dich mit geeigneten Phasendiagrammen für Chondren vertraut und beschreibe typische Kristallisationspfade für diese, um deren beobachtete Phasen und Phasenbeziehungen zu erklären.","phase diagram, chondrule crystallisation, mineral","phasendiagramm, chondre, kristallisation, mineral",fundamentals,Fundamentales,Short Video (5-10 minutes) or Essay (300-600 words),Short Video (5-10 minutes) or Essay (300-600 words),70,basic,2,2,"Name adequate ternary and binary phase diagrams to describe crystallisation and melting of chondrules. Explain the layout and details of these phase diagrams, as well as crystallisation whats for equilibrium and fractional crystallisation.","Nenne adäquate ternäre und binäre Phasendiagramme, um die Kristallisation und das Aufschmelzen von Chondren zu beschreiben. Erkläre den Aufbau und die Elemente in diesen Phasendiagrammen, sowie Kristallisationspfade für die Gleichgewichts- und fraktionierte Kristallisation.","Mineral Crystallisation in Chondrules (An - SiO2 - Fo including binary systems),Mineral Crystallisation in Chondrules (Di - An - Fo including binary systems)","Mineralkristallisation in Chondren (An - SiO2 - Fo inkl. der binären Systeme),Mineralkristallisation in Chondren (Di - An - Fo inkl. der binären Systeme)",summative,fasse zusamme,"2 Videos, 18 min",
yes,Chondrule Formation,Entstehung der Chondren,"Chondrules formed in brief, high-temperature events. While the conditions of chondrule formation are well known, the mechanism that formed chondrules are still rather speculative. Learn about chondrule formation conditions and familiarise yourself with the arguments behind these. Have a look at the suggested chondrule formation mechanisms. Describe what is currently known about chondrule formation.","Chondren haben sich in kurzen, hoch-Temperaturereignissen gebildet. Während die Bedingungen dieser Ereignisse gut bekannt sind, ist der Mechanismus dahinter weitgehende Spekulation. Informiere Dich über die Chondren-Bildungsbedingungen und mache Dich mit den Argumenten vertraut, woraus diese Bedingungen abgeleitet werden. Schaue Dir vorgeschlagenen Chondren-Bildungsmechanismen an. Beschreibe, was derzeit über Chondren-Bildung bekannt ist.","chondrule, formation, model, mechanism, condition","chondre, bildung, modell, mechanismus, bedingung",fundamentals,Fundamentales,Video (7-15 minutes) or Essay (600-1000 words),Video (7-15 minutes) or Essay (600-1000 words),90,advanced,2,4,"Demonstrate and argue why chondrules experienced only brief heating, and how we know this. Describe the ambient conditions of chondrule formation. Explain why there was a temperature limit during chondrule formation. Explain the meaning of the 2-component model, and where chondrules were likely formed. Recall, discriminate and describe the most important chondrule formation models.","Belege und argumentieren, weshalb Chondren nur kurzzeitig aufgeheizt wurden, und woher man das weiß. Beschreibe Umgebungsbedingungen, in denen sich Chondren gebildet haben. Erkläre, weshalb eine bestimmte Temperatur bei der Chondren-Bildung nicht überschritten werden konnte.  Erkläre, was das 2-Komponenten Modell bedeutet, und wo sich Chondren wahrscheinlich gebildet haben. Nenne, unterscheide und beschreibe die wichtigsten Chondren-Bildungsmodelle.","Thermal Episode of Chondrule Formation,Shock Wave Model of Chondrule Formation,Asteroid Collision Model of Chondrule Formation,X-Wind Model,Additional Chondrule Formation Models","Thermische Episode der Chondren-Bildung,Schock-Wellen Modell der Chondren-Bildung,Asteroiden-Kollisionsmodell der Chondren-Bildung,X-Wind Modell,Weitere Chondren-Bildungsmodelle",summative,fasse zusamme,"5 Videos, 14+? min",
yes,CAI formation,Entstehung der CAIs,"Ca,Al-rich inclusions (CAIs) are a minor, but important component in chondrites, as they mark time zero for the dating of solar system events. Learn about the characteristics, abundances, formation and classification of CAIs, and discriminate these from similar components.","Ca,Al-reiche Einschlüsse (CAIs) sind zwar eine Neben-Komponente in Chondriten, jedoch eine sehr wichtige, da sie den Nullpunkt für alle Datierungen im Sonnensystem setzen. Lerne die Charakteristika, Häufigkeiten, Bildung und Klassifikation der CAIs, und unterscheide sie von ähnlichen Komponenten.","CAI, formation, xenolith, classification","CAI, bildung, xenolith, klassifikation",fundamentals,Fundamentales,Short Video (5-10 minutes) or Essay (300-600 words),Short Video (5-10 minutes) or Essay (300-600 words),60,basic,2,2,"Describe the general appearance and characteristics of CAIs. Describe the classification and modal abundances of CAIs. Explain how CAIs formed and how we know this. Explain whether or not CAIs are xenoliths and how we know this. Discriminate CAIs, AOAs, and RIs.","Beschreie das allgemeine Auftreten, sowie die allgemeinen Charakteristika der CAIs. Beschreibe die Klassifikation und Häufigkeit der CAIs. Erkläre wie sich CAIs Bildung und woher wir das wissen. Erkläre ob CAIs Xenolithe sind und wie wir das belegen können. Unterscheide CAIs, AOAs und RIs.","CAIs – Types & Classification with respect to Minerals,CAI Classification – REE patterns,CAI Abundances,CAIs are likely Xenoliths,CAIs and AOAs are both Refractory Inclusions","CAIs – Arten & Klassifikation nach Mineralen,CAI Klassifikation – REE Muster,CAI Häufigkeiten,CAIs sind wahrscheinliche Xenolithe,CAIs & AOAs sind beides Refraktäre Einschlüsse",summative,fasse zusamme,"5 Videos, 28 min",
yes,Presolar Grains,Präsolare Körner,"Presolar grains are a trace component in meteorite. They originate from other stars and are characterised by massively different isotope compositions than all other meteorite components. Learn about the formation, origin, transport, types and classification of presolar grains.","Präsolare Körner sind Spuren-Komponenten in Meteoriten. Sie stammen von anderen Sternen und sind charakterisiert durch massiv unterschiedliche Isotopen-Zusammensetzung als alles andere Material in unserem Sonnensystem. Lerne über die Bildung, den Ursprung, Transport, die Typen und Klassifikation der präsolaren Körner.","prsolar, component, classification, isotope","präsolar, komponente, klassifikation, isotop",fundamentals,Fundamentales,Short Video (5-10 minutes) or Essay (300-600 words),Short Video (5-10 minutes) or Essay (300-600 words),60,basic,2,2,Describe the various types of presolar grains and how these are classified. Compare the isotope variations of presolar grains to solar system materials. Explain how presolar grains can be found and identified.,Beschreibe die verschiedenen Typen präsolarer Körner und wie diese klassifiziert werden. Vergleiche die Isotopen-Variationen präsolarer Körner mit anderem Material unseres Sonnensystems. Erkläre wie präsolare gefunden und identifiziert werden.,"Presolar Grains – Types and Abundances, Presolar Grains – Isotope Compositions","Präsolare Körner – Arten und Häufigkeiten,Präsolare Körner – Isotopen-Zusammensetzungen",summative,fasse zusamme,"2 Video, 13 min",
yes,The age of meteorites and planetary bodies,Das Alter der Meteorite und planetarer Körper,Dating of solar system objects such as meteorites or IDPs allows us to produce a chronology of events such as chondrule formation or planetary accretion and differentiation in the early solar system. Various and appropriately chosen short- and long-lived radioactive isotope decay systems are  required to reconstruct these events.,"Die Chronologie der Ereignisse im frühen Sonnensystem wie etwa Chondrenbildung oder Akkretion und Differenzierung planetarer Körper kann über die Datierung von Objekten wie Meteoriten oder IDPs rekonstruiert werden. Verschiedene und entsprechend ausgewählter kurz- sowie langlebiger radioaktiver Isotopen-Systeme sind nötig, um diese Ereignisse zu rekonstruieren.","chronology, dating, decay system, event, early solar system","chronologie, datierung, zerfallsszstem, ereignis, frühes Sonnensystem",fundamentals,Fundamentales,Short Video (5-10 minutes) or Essay (300-600 words),Short Video (5-10 minutes) or Essay (300-600 words),60,basic,2,2,Name important decay systems to reconstruct the chronology of early solar system events. Describe the succession of events in the early solar system.,Nenne wichtige Zerfallssysteme um daraus die Chronologie des frühen Sonnensystems zu rekonstruieren. Beschreibe die Abfolge der Ereignisse im frühen Sonnensystem.,"Chronology of Events in the Early Solar System,Choosing Appropriate Decay Systems for Age Dating","Chronologie der Ereignisse im frühen Sonnensystem,Auswahl geeigneter Zerfallssysteme für die Alterdatierung",summative,fasse zusamme,"2 Video, 10 min",
