done,Assignment,Assignment (german),Description,Description (german),Keywords,Keywords (german),fundamentals,Fundamentales,Format,Format german,Effort (min),Level,Skill,Credits,Learning Outcome,Learning Outcome (german),Hints,Hints (german),Assessment,Assessment (german),Video time,missing videos
yes,Formation reservoirs/-locations of chondrite components,Bildungsreservoire/-bereiche der Chondrit-Komponenten,"Chondrule bulk compositions in individual chondrites have distinct distribution. Further, chondrules and matrix have different mean composition in individual chondrites. Learn about the relationship of chondrules and matrix in chondrites, and what we can learn from this about their formation and formation reservoirs. Describe the chondrule-matrix complementarity and explain – in conjunction with additional arguments – whether chondrules, as well as chondrules and matrix, respectively, formed from a common or from various reservoirs in the protoplanetary disk.","Chondren Gesamtzusammensetzungen haben bestimmte Verteilungen in Chondriten. Weitere haben Chondren und Matrix in individuellen Chondriten unterschiedliche, mittlere Zusammensetzungen. Lerne über den Zusammenhang zwischen Chondren und Matrix in Chondriten, und was daraus über deren Entstehung- sowie Entstehungsreservorie ausgesagt werden kann. Beschreibe die Chondren-Matrix Komplementarität, und erkläre zusammen mit weiteren Argumenten, ob Chondren, bzw. Chondren und Matrix eines Meteoriten  aus einem oder mehreren Reservoiren der protoplanetaren Scheibe stammen.","chondrule, matrix, complementarity, reservoir, origin, protoplanetary disk","chondre, matrix, komplementarität, reservoir, usrprung, protoplanetare scheibe",fundamentals,Fundamentales,Video (7-15 minutes) or Essay (600-1000 words),Video (7-15 minutes) or Essay (600-1000 words),90,advanced,2,4,"Explain required parameters for chondrule-matrix complementarity. Explain and demonstrate whether and why chondrules and matrix either formed (i) together in a common reservoir, or (ii) in various reservoirs and were later mixed together. Further, explain and demonstrated if chondrules alone and of individual meteorites formed from a common or various reservoirs.","Erkläre, welche Parameter erfüllt sein müssen, um von Chondren-Matrix Komplementarität zu sprechen. Erkläre und begründe ob und warum Chondren und Matrix entweder (i) gemeinsam in ein und demselben Reservoir entstanden, oder (ii) in unterschiedlichen Reservoiren entstanden und anschließend zusammen gemischt wurden. Erkläre und begründe weiter, ob Chondren eines Meteoriten wahrscheinlich aus einem oder mehreren Reservoiren stammen.","Chondrule-Matrix Complementarity,Chondrule-Matrix Isotope Complementarity,Comparing Mixing vs. Magmatic Origin for Bulk Chondrule Compositions,Possibilities of how to Mix Components","Chondren-Matrix Komplementarität,Chondren-Matrix Isotopen Komplementarität,Vergleich von Mischung und Magmatischem Ursprung für Chondren Gesamt-Zusammensetzungen,Möglichkeiten Komponenten zu Mischen",summative,fasse zusamme,"4 Videos, 21 min",
yes,Mathematical basics for isotopes and dating,Mathematische Grundlagen für Isotope und Datierung,"A few mathematical basics are critical to understand the equations for dating and chronology. Explain what exponents, logarithms, and differential equations are, and how these work.","Für das Verständnis der Gleichungen für die Datierung und Chronologie sind wenige mathematische Grundlagen wichtig zu verstehen. Erkläre was Exponenten, Logarithmen, Differential-Gleichungen sind und wie diese funktionieren.","exponent, logarithm, differential equation, dating, chronology, isochron","exponent, logarithmus, differential-gleichung, datierung, chronologie, isochrone",fundamentals,Fundamentales,Brief Video (3-5 minutes) or Essay (100-200 words),Brief Video (3-5 minutes) or Essay (100-200 words),40,basic,2,1,Confidently recall and apply exponents and logarithms. Explain what a differential equation is. Relate the function e^x to is derivative e^x.,Nenne und verwende sicher Exponenten und Logarithmen. Erkläre was eine Differential-Gleichung ist. Setze die Funktion e^x in Bezug zu seiner Ableitung e^x.,"Basic Exponential and Logarithmic Laws,Why the derivative of e^(x) equals e^(x),What is a Differential Equation,Solving (Differential) Equations","Grundlegende Exponential und Logarithmus Gesetze,Warum die Ableitung von e^(x) wieder e^(x) ist,Was ist eine Differential-Gleichung?,Lösen von (Differential)Gleichungen",summative,fasse zusamme,"4 Videos, 13 min",
yes,Dating & radioactive decay,Datierung & radioaktiver Zerfall,"As an entrance to dating and chronology, it is critical to familiarise oneself with the fundamentals of the radioactive decay. Inform yourself with the modes of radioactive decay, how the decay proceeds, the meaning of the decay constant/half life, and how the radioactive decay is presented in plots. Describe the important fundamentals of the radioactive decay.","Als Einstieg in die Datierung und Chronologie ist es wichtig, sich grundsätzlich mit dem radioaktiven Zerfall zu beschäftigen. Schaue Dir dazu die Arten des radioaktiven Zerfalls an, wie der Zerfall verläuft, was die Zerfallskonstante/Halbwertszeit bedeutet, und wie der radioaktive Zerfall in Diagrammen dargestellt wird. Beschreibe die wichtigen Grundlagen des radioaktiven Zerfalls.","decay, radioacive, radiogenic, half live, constant","zerfall, radioaktiv, radiogen, halbwertszeit, konstante",fundamentals,Fundamentales,Brief Video (3-5 minutes) or Essay (100-200 words),Brief Video (3-5 minutes) or Essay (100-200 words),50,basic,2,1,"Describe the varies modes of radioaktive decay. Describe and explain the radioactive decay, as well as the radiogenic evolution. Relate the decay constant to the half life.",Beschreibe die verschiedenen Arten des radioaktiven Zerfalls. Beschreibe und erkläre den radioaktiven Zerfall sowie die radiogene Entwicklung. Setze die Zerfallskonstanten in Relation zur Halbwertszeit.,"Modes of Radioactive Decay,Coin Tosser – Illustrating the De- and Increase of the Radioactive Elements,Radiogenic Evolution,Radiogenic Decay Plot,Relationship Decay Constant <-> Half-Life","Arten des Radioaktiven Zerfalls,Münzschüttel-Tisch – Veranschaulichung der Ab- und Zunahme Radioaktiver Elemente,Radiogene Entwicklung,Radioaktiver Zerfall Diagramm,Beziehung Zerfallskonstante <-> Halbwertszeit",summative,fasse zusamme,"5 Videos, 22 min",
yes,The isochron equation and the isochron diagram,Die Isochronen-Gleichung und das Isochronen-Diagramm,"Age dating is done using isochron diagrams from which – and in conjunction with the isochron equation – the absolute or relative age of a sample is determined, depending on whether it is a short lived or long lived decay system. The isochron equation can be directly derived from the decay equation. Understand the connection between the decay and isochron equations, and learn the difference between long-lived decay system/absolute dating and short-lived decay system/relative dating.","Zur Datierung verwendet man Isochronen-Diagramme, aus denen man mit Hilfe der Isochronen-Gleichung absolute oder relative Alter von Proben bestimmt, je nachdem, oben es sich um ein langlebiges oder ein kurzlebiges Zerfallssystem handelt. Die Isochronen-Gleichung kann direkt aus der Zerfallsgleichung abgeleitet werden. Beschäftige Dich mit dem Zusammenhang Zerfallsgleichung – Isochronen-Gleichung, und lerne den Unterschied zwischen langlebigem Zerfallssystem/absolute Datierung und kurzlebiges Zerfallssystem/relative Datierung. Beschreibe diese Grundlangen der Datierung.","dating, chronology, isochron, decay, constnat, relative, absolute, short-lived, long-lived","datierung, chronologie, isochrone, zerfallsgleichung, zerfall, relativ, absolut, kurzlebig, langlebig",fundamentals,Fundamentales,Video (7-15 minutes) or Essay (600-1000 words),Video (7-15 minutes) or Essay (600-1000 words),90,advanced,2,4,"Recall the decay equation. Relate the decay to the isochron equation. Name the plot-type of the isochron plot. Explain and describe the difference between long-lived and short lived decay system and plot, respectively.","Nenne die Zerfallsgleichung. Erkläre den Zusammenhang zwischen der Zerfalls-und Isochronen-Gleichung. Benenne den Diagramm-Typ des Isochronen-Diagramms. Erkläre und beschreibe den Unterschied zwischen langlebigem und kurzlebigem Zerfallssystem, bzw. -Diagramm. ","Deriving the Decay Equation,Deriving the Isochron Equation,Isochron-Plot of Long-Lived Decay Systems,Isochron-Plot of Short-Lived Decay Systems","Ableitung der Zerfallsgleichung,Ableitung der Isochronen-Gleichung,Isochronen-Plot Kurzlebiger Zerfallssysteme,Isochronen-Plot Langlebiger Zerfallssysteme",summative,fasse zusamme,"4 Videos, 31 min",
yes,Plot Types and Making of a Plot,Plot-Typen und Anfertigen eines Plots,"It is most sensible to present data in plots. It is of utmost importance to meaningfully present data, when constructing a plot. It is critical not to forget any of the key elements of a plot. It is equally important to be aware of which plot type one uses, or what plot type one is looking at, respectively. Inform yourself about the various plot types, describe their key elements, and produce a selection of the important plot types in MetBase.","Daten werden sinnvollerweise in Diagrammen dargestellt. Bei der Erstellung von Diagrammen ist die aussagekräftige Darstellung der Daten unerlässlich. Dazu muss darauf geachtet werden, keines der zentralen Elemente eines Diagramms zu vergessen. Ebenso wichtig ist es zu wissen, welchen Diagramm-Typ man verwendet, bzw. zu erkennen, um was für einen Diagramm-Typ es sich bei einem betrachteten Diagramm handelt. Informiere Dich über die verschiedenen Diagramm-Typen, beschreibe die wichtigen Elementen eines Diagramms, und stelle eine Auswahl der wichtigen Diagramm-Typen in MetBase dar.","plot, type, metbase, construct","diagramm, plot, typ, metbase, konstruiere",optional,optional,Short Video (5-10 minutes) or Essay (300-600 words),Short Video (5-10 minutes) or Essay (300-600 words),60,basic,2,2,"Recall and name all required elements of a plot. Recall, present and apply all important plot types. Confident application of the various plot types in MetBase.","Kenntnis und Benennung aller notwendigen Elemente eines Diagramms. Kenntnis, Darstellung und Verwendung der wichtigen Diagramm-Typen. Sicheres Anwenden der verschiedenen Diargamm-Typen in MetBase.","Making a Plot,Basics of Scatter Plots,Basics of Category Plots,Basics of Function Plots,Basics of Parametric Plots,Basics of Combining Plots,Basics of Ternary Plots","Einen Plot anfertigen,Grundlegendes über Scatter Plots,Grundlegendes über Kategorien Plots,Grundlegendes über Funktionen Plots,Grundlegendes über Parameter Plots,Grundlegendes über Plot-Kombinationen,Grundlegendes über Ternäre Plots",summative,fasse zusamme,"7 Video, 33 min",
,Special Appearance: Mojo,Extra-Auftritt: MoJo,"A. Morbidelli and S. Raymond guide through this special series entitled: ›MOJO - Modeling the Origin of JOvian planets‹. The series consists of 11 parts, covering a variety of topics related to the formation of the planets, with a focus on the gas planets.","A. Morbidelli und S. Raymond führen durch diese Extra-Serie mit dem Titel: ›MOJO - Modeling the Origin of JOvian planets‹. Die Serie besteht aus 11 Teilen und diskutiert verschiedene Themen mit Bezug zur Bildung der Planeten, mit einem Fokus auf den Gasplaneten. Diese Serie ist nur in englischer Sprache verfügbar.","mojo, special","mojo, spezial",optional,optional,Video (7-15 minutes) or Essay (600-1000 words),Video (7-15 minutes) or Essay (600-1000 words),90,advanced,2,4,"For guest series such as this, no specific learning goals are currently defined. Summarise and present the important topics of this series.",Für Gast-Serien wie diese sind derzeit keine spezifisch Lernziele definiert. Fasse die  wichtigen Aspekte dieser Serie zusammen und stelle diese dar.,All the videos in the MoJo Special Appearance series.,All Videos in der MoJo Spezial-Auftritt Serie.,summative,fasse zusamme,"11 Video, 80 min",
,,,,,,,,,,,,,,,,,,,,,,
,,Grand Tack,,,,,,,,,,,,,,,,,,,,
,,Isotopische Zusammensetzung der Meteorite,,,,,,,,,,,,,,,,,,,,
,,Alteration,,,,,,,,,,,,,,,,,,,,
,,Entstehung des Mondes,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,Briefly describe the main events of early solar system formation from a molecular cloud until the foramtion of the planets.,Erläutere in wenigen Sätzen die Entstehung unseres Sonnensystems.,,,solar system,Sonnesystem,fundamentals,Fundamentales,Short Video (max. 10 minutes) or Essay (max. 700 words),Kurzes Video (max. 10 Minuten) or Essay (max. 700 Wörter),30,3,professional,3,Ability to describe the sequence of events of our solar system formation in chronological order. General understanding of planetary system formation. ,,"Collapse of the molecular cloud, rotating protoplanetary disk, condensation, addition of short radionuclides, component formation, complementarity, reservoirs, accretion, collisions, asteroids, runaway growth",,summative,fasse zusamme,,
,,,"Nun soll es etwas um die Zusammensetzung von Meteoriten und der Erde gehen, und wie diese evtl. zusammenhängen. Schaue dazu zunächst die Zusammensetzung der wichtigen Elemente Mg, Si und Al von Meteoriten und Erde an. In einem zweiten Schritt soll es um die Entwicklung der Zusammensetzung der Erde gehen, und wie man daraus etwas über die Differentation der Erde, und möglicher, später Einschläge auf die Erde lernen kann.Aufgabe: Überlege (i) ob die Mg-, Si-, Al-Zusammensetzung der Erde aus Meteoriten erklärt werden kann. (ii) Wie kann aus der Zusammensetzung der Erde auf mögliche, sehr späte Meteoriten-Einschläge geschlossen werden?",,,,,,,,,,,,,,,,,,,
,"Material evaporates from a chondrule melt during its high-temperature formation stage. Assuming complete vacuum around the chondrule, what are the realtive speed differences of the stable isotopes 54Fe, 56Fe, and 57Fe during evaporation?","Eine Chondrenschmelze evaporiert während der Chondrenbildung Fe. Welchen relativen Geschwindigkeitsunterschied haben dabei die 3 abdampfenden, stabilen Isotope 54Fe, 56Fe und 57Fe?",,,"stable isotope, chondrules, thermodynamic","Stabile Isotope, Chondre, Thermodynamik",stable isotopes,Stabile Isotope,Brief Video (max. 5 minutes) or Essay (max. 200 words),Knappes Video oder Audio (max. 5 Minuten) or Essay (max. 200 Wörter),10,3,basic,2,Ability to apply Grahams law and calculate the various speeds. Explain the result from these various speeds.,,Formula of Grahams law. Calculating the speed differences.,,summative,fasse zusamme,,
,"Which distinct growth stages exist when planets form. What sizes do the various, intermediate objects have? What are the rough timescales for this evolutionary growth?",Welches ist der auffallendste Prozess zur der Bildung der Planeten?,,,components,Komponente,fundamentals,Fundamentales,Brief Video (max. 5 minutes) or Essay (max. 200 words),Knappes Video (max. 5 Minuten) or Essay (max. 200 Wörter),10,2,basic,2,Express the sequence of events in the portoplanetary disk from ISM material to planets and the time this took. Name the correct objects at the various stages with their correct size.,,"4 stages: ISM –, sub-µm, meteorite components – µm to mm, asteroids – m to hundreds of km, planets – thousands of km",,summative,fasse zusamme,,
,How do we know meteorites can tell us a lot about the early solar system?,Weshalb sind Meteorite wichtig für unser Verständnis des frühen Sonnensystems?,,,"solar system, protoplanetary disk","Sonnesystem, Protoplanetare Scheibe",fundamentals,Fundamentales,Brief Video (max. 5 minutes) or Essay (max. 200 words),Knappes Video (max. 5 Minuten) or Essay (max. 200 Wörter),10,4,professional,3,Showing knwoldege and awareness of the most fundamental justification for meteorite research.,,Same composition as the Sun. Contain the oldest known objects of our solar system.,,summative,fasse zusamme,,
,Why is the Earth manle much more oxidised compared to the protoplanetary disk?,"Weshalb sind die Gesteine des Erdmantels im Vergleich zum solaren Nebel stark oxidiert, bzw. weshalb ist der Nebel extrem reduziert?",,,"protoplanetary disk, thermodynamic","Protoplanetare Scheibe, Thermodynamik",fundamentals,Fundamentales,Brief Video or Audio (max. 5 minutes) or Essay (max. 200 words),Knappes Video oder Audio (max. 5 Minuten) or Essay (max. 200 Wörter),10,3,intermediate,2,"Combining knowledge from the mineral/element composition in the protoplanetary disk and the Earth's mantle, and showing the ability to connect this to the oxygen fugacity, which is a measure of reducing and oxidising conditions.",,"The protoplanetary disk contains lots of metal, while the metal on Earth is in the core, shifting the oxygen fugacity from orders of magnitude below IW in the protoplanetary disk to FMQ in the Earth's mantle.",,answer,antworte,,
,Why are the rocks of planetary bodies made from silicates/oxides and not carbides? ,Weshalb bestehen die Körper unseres Sonnensystems aus Oxiden und nicht Karbiden?,"Start with thinking about the difference between oxides and carbides. Then collect information about the element composition of the protoplanetary disk. Finally, you need to know about the gas chemistry of the fundamental building blocks of oxides and carbides.",Überlege zunächst den Unterschied zwischen Oxiden und Karbiden. Informiere Dich über die Element-Zusammensetzung der protoplanetaren Scheibe. Schließlich benötigst Du die Gaschemie der wesentlichen Bausteine der Oxide und Karbide.,"protoplanetary disk, thermodynamic","Protoplanetare Scheibe, Thermodynamik",fundamentals,Fundamentales,Brief Video or Audio (max. 5 minutes) or Essay (max. 200 words),Knappes Video oder Audio (max. 5 Minuten) or Essay (max. 200 Wörter),10,3,intermediate,2,Connect the C/O ratio of the protoplanetary disk with the silicate/oxide chemistry of terrestrial planets. Being aware that the CO molecule is the pivotal element in this relationship.,,"C/O ratio below 1. CO is a highly stable molecule and will consume all available oxygen. If more C than O available, i.e., C/O above 1, only C remains, making a carbide chemistry. As the solar system had C/O below 1, oxygen remained for a silicate/oxide chemistry.",,answer,antworte,,
,How does the 50% condensation temperature change with increasing ambient pressure?,Wie ändert sich die Kondensationstemperatur mit steigendem Druck? Wie mit abnehmender Häufigkeit?,,,"thermodynamic, condensation","Thermodynamik, Kondensation",processes,Prozesse,Brief Video or Audio (max. 5 minutes) or Essay (max. 200 words),Knappes Video oder Audio (max. 5 Minuten) or Essay (max. 200 Wörter),10,1,basic,1,Knowing the relationship between pressure and temperature with respect to the 50% condensation temperature of the elements.,,"At higher pressures, elements condense at lower temperatures. So, if the temperature stays the same, elements will start to condense with increasing pressure.",,answer,antworte,,
,,"Eine Forscherin untersucht eine Chondre mit der Mikrosonde, und fertigt verschiedene Element-Maps an. Daraus produziert sie eine Phase Map, und erkennt folgendes: Es ist eine porphyrische Olivin Chondre, mit einem Rand aus niedrig-Ca Pyroxen. Einige Metalle und wenige Sulfide treten auf. Die Mesostasis ist leicht entglast, und besteht aus Feldspat artigem Material, darin etwas Pyroxen, Feldspat und wenig Quarz. Zusätzlich tritt in den Olivinen und der Matrix Spinell auf. Feinen Risse durchziehen die Chondre, die mit Fe-Hydroxiden verfüllt sind.
Frage: Was lässt sich über die Entstehung dieser Chondre aussagen?",,,"petrology, component",,research simulation,,Extended Video (max. 20 minutes) or Essay (max. 2000 words),,120,5,expert,,,,"Open System. Kristallisationsreihenfolge, -keime, -geschwindigkeit, Alteration auf dem Mutterkörper und/oder terrestrisch.",,summative,,,
,,"Ein studentischer Hiwi untersucht einen Meteoriten und macht folgende Beobachtungen: Der Meteorit enthält fast ausschließlich Chondren, und kaum Matrix. CAIs sind nicht vorhanden, auch praktisch keine Opak-Phasen. Im Dünnschliff ist der Bereich zwischen den Chondren Orange gefärbt. In einem Teil des Meteoriten sind kleinere und etwas weniger Chondren als im Rest. Von den 50 genauer untersuchten Chondren haben 5 längliche Balken. In 37 Chondren sind große Minerale enthalten. In 4 Chondren scheinen Minerale radialstrahlig von einem Punkt durch die Chondre gewachsen. Die restlichen haben praktisch keine Struktur.
Frage: Um was für einen Meteoriten handelt es sich? Was lässt sich über die Geschichte des Meteoriten sagen? Welche unterschiedlichen Chondren-Typen gibt es, und wie sind diese entstanden?",,,"component, petrology",,research simulation,,Extended Video (max. 20 minutes) or Essay (max. 2000 words),,120,5,expert,,,,"L-Chondrit, terrestrische Verwitterung, 2 Lithologien -> Brekzie, Histogram der Chondren-Typ Verteilung (BO, PO/POP, RP), Manche Chondren hatten keine Kristallisationskeime mehr, d.h. unterschiedliche Peak-T und/oder Abkühlgeschwindigkeiten.",,summative,,,
,,"Ein alter Mann steigt von einem Berg herab und läuft eiligen Schrittes in einen Vorlesungssaal. Dort verkündet er, ihm wäre eben auf dem Gipfel des Berges folgendes verkündet worden, und leider verstehe er kein Wort davon, und müsse es daher sofort loswerden: CAIs haben sich gemeinsam und zur selben Zeit mit Chondren in einem Reservoir gebildet. CAIs sind seltener, da einiges an Ca und Al in den Pyroxenen der Chondren eingebaut wurde. Zusätzlich wären auf der Wanderung der beiden Komponenten die CAIs in den äußern Bereichen des Sonnensystems zurück geblieben. Chondren bestehen hauptsächlich aus Albit, Olivin und etwas Pyroxen, aufgrund der fraktionierten Kondensation während deren Bildung. Und die Chondren wurden während deren Aufheizung auf 1200 bis 1500 K aufgeheizt.
Frage: Wie es der Teufel will, landete der alte Mann in einer Kosmochemie-Vorlesung. Wie erwidern die cleveren Studierenden die für den Herrn selbst unverständliche Aussagen?",,,"protoplanetary disk, component, process",,research simulation,,Extended Video (max. 20 minutes) or Essay (max. 2000 words),,120,5,expert,,,,"CAIs und Chondren können nicht gemeinsam entstehen, da CAIs langsame Abkühlung brauchen, und Chondren schnelle. CAIs sind seltener, da weniger Ca und Al vorhanden ist. Die Komponenten entstanden im inneren Sonnensystem. Der Feldspat ist eher der volatile, d.h. Na-arme Anorthit. Gleichgewicht- und fraktionierte Kondensation müssen hier sauber getrennt werden. Die Aufheizung muss über die Liquidus-Temperatur stattgefunden haben, also locker 1900 K.",,summative,,,
,,"In der Kinder-Uni fragt ein 8-jähriges Mädchen nach einem Vortrag über Meteorite und das frühe Sonnensystem den schon ganz durchentspannten Dozenten: «Wie groß ist denn so das Volumen, aus dem sich ein Planetesimal von z.B. 20 km gebildet hat?» Dem nunmehr schon weniger durchentspannten Dozenten fällt gerade noch ein, dass während der Chondren-Bildung etwa 10 Chondren einen Kubikmeter füllen. Was antwortet er nach einiger Rechnerei dieser vorlauten Gör?
Unersättlich setzt sie nach: «Und wenn man sich nun die Erdbahn als Torus vorstellt, mit dem Durchmesser der Erde, wie viele solcher Volumen, und damit potentieller Asteroiden, die sich daraus bilden könnten, würden da rein passen?» ›Hat hier kein anderer eine Frage?‹, mault der Dozent gedanklich vor sich hin, und zückt verdrießlich den Stift zum zweiten Mal.
Das nun fast zufriedene Kind nickt beeindruckt, und schiebt als letztes hinterher: «Wie viele Chondren sind denn dann so in einem Planetesimal – ach ne, in einem Kubikzentimeter reicht». Das sollte ja vollends geschwind gehen, denkt der Dozent und rechnet’s schnell noch aus.
Aufgabe: Nenne Rechenwege und Antworten des Dozenten.",,,"asteroid, protoplanetary disk",,research simulation,,Extended Video (max. 20 minutes) or Essay (max. 2000 words),,120,5,expert,,,,"Chondren-Durchmesser: 200 µm, d.h. Radius: 100 µm oder 10-4 m.
10 Chondren haben ein Gesamt-Chondrenvolumen von 10 x 4/3 π (10-4 m)3 = 4.2 10-12 m3
Das Planetesimal soll einen Durchmesser von 20 km, also einen Radius von 103 m haben. 
Damit hat das Planetesimal ein Volumen von 4/3 π (103 m)3 = 4.2 109 m3
Die folgende Menge an Volumen mit 10 Chondren darin sind also nötig, um ein Planetesimal mit 20 km Durchmesser zu machen: 4.2 109 m3 / 4.2 10-12 m3 = 1021 m3 (bzw. 1022 Chondren)
Oder einer Kugel mit 12.407 Kilometern Durchmesser.
Aber halt! Das wäre ein Planetesimal mit nur Chondren. Wenn die Hälfte Matrix ist, braucht man doppelt so viel Volumen. Da Planetesimale auch noch eine hohe Porosität haben von vielleicht ursprünglich bis zu 50%, ist das Volumen noch mal etwa doppelt so groß.
Torus/Volumen (Kreis-Durchmesser mal Bahnlänge) 2 π 1.496*1011 m π 63670002 m2 = 1,2 1026 m3
Das ergibt die folgende Anzahl von Volumen, bzw. potentieller Planetesimale
1,905 1025 m3 / 1021 m3 = 119.709
Um die Erde zu bauen, bräuchte man 4/3 π (6367*103 m)3 / 4.2 109 m3 = 2,6 1011 solcher Planetesimale mit 20 km Durchmesser, bzw. etwa 2 Millionen mal mehr, als in diesen Torus passen, bzw. 2 Millionen mal diesen Torus.
Chondren-Durchmesser: 200 µm, d.h. Radius: 100 µm oder 10-2 cm.
1 Chondren hat damit ein Volumen von 4/3 π (10-2 cm)3 = 4.2 10-6 cm3
In einem Kubikzentimeter sind daher 238.732 Chondren. Oder, mit etwas Matrix, bestimmt so an die 100.000.
Allerdings, bei einem Chondren-Durchmesser von 600 µm, d.h. Radius: 300 µm oder 3*10-2 cm.
Hat 1 Chondren ein Volumen von 4/3 π (3*10-2 cm)3 = 4.2 10-6 cm3
In einem Kubikzentimeter sind dann nur noch 8842 Chondren. Oder, mit etwas Matrix, so an die 5000.",,summative,,,
,,"Der Vier Elsen Verlag liegt in den letzten Zügen zu einem Buch über Kosmochemie. Das Budget ist schon überzogen. Es fehlt jedoch noch ein grundlegendes Kapitel, in dem dargestellt wird, wie häufig die chemischen Elemente und Komponenten in Chondriten sind, und wie sich die chemischen Elemente zwischen den Komponenten verteilen. Da das Geld für das Buch praktisch aufgebraucht ist, wendet sich der Vier Elsen Verlag an billige, studentische Kräfte, mit dem Auftrag, 5-10 Abbildungen für dieses Kapitel zu erstellen, aus denen sich der noch fehlende, verbleibende Text ableiten lässt.
Aufgabe: Ihr seid eine Gruppe ausgehungerter und durstiger Studierender, die sich um diesen Auftrag balgen. Erstellt die Abbildungen, und überzeugt die ahnungslosen Editoren des Vier Elsen Verlags, dass sich daraus ein feines Kapitel stricken lässt.",,,"component, petrology",,research simulation,,Extended Video (max. 20 minutes) or Essay (max. 2000 words),,120,5,expert,,,,"Elementhäufigkeiten des Sonnensystems, Häufigkeiten der Komponenten, Abbildung mit den verschiedenen Komponenten und/oder BSE Bild eines Meteoriten, Elementhäufigkeiten in den verschiedenen Komponenten.",,summative,,,
,,"Auf einem Mathematiker-Kongress anlässlich der Verleihung der Fields-Medaille ist noch eine kleine, aber gut ausgeleuchtete Ecke frei. Dort möchten die vergeistigten Kollegen etwas aufbauen lassen, das ein bisschen mehr praktischen Wumms und Exotik hat. Was zum Anfassen, aber doch nicht zu konkret, also vielleicht etwas Extraterrestrisches? Man entzweit sich fast über diese Frage. Die Fachschaft Geo/Min bekommt Wind davon – denn der Kongress ist in Köln – und beauftragt ihre Kosmo-Mitglieder, den verbleibenden Raum beim Kongress mit etwas über Rayleigh-Fraktionierung bei Chondren zu füllen.
Aufgabe: Entwerft einen attraktiven Stand für die Ecke, und zeigt den Kollegen, wie viel näher angewandte Mathematik dem eigentlichen Leben ist.",,,"isotope, thermodynamic, process",,research simulation,,Extended Video (max. 20 minutes) or Essay (max. 2000 words),,120,5,expert,,,,"Diagramme der Rayleigh Fraktionierung, wann und wie das bei Chondren auftritt, und was man daraus für die protoplanetare Scheibe lernen kann.",,summative,,,
,,"Der Kosmos-Verlag möchte einen neuen Experimentierkasten ins Sortiment aufnehmen. Der Arbeitstitel lautet «Easy Chondrite». Aus den vorhandenen Teilen soll ein eigener Chondrit gebaut werden können. Damit sich die Kleinen besser vorstellen können, wie der Hauptbestandteil «Chondre» aussieht, sollen außerdem Modelle von Chondren gebaut werden können.
Aufgabe: Konzipiert den Experimentierkasten, gebt ihm einen Namen und kurze Werbe-Beschreibung, und eine Kürzest-Anleitung mit den möglichen Experimenten und was dabei passiert – z.B., weshalb Chondren nicht aus kleinsten Precursorn zusammen gesetzt sein können.",,,"petrology, component",,research simulation,,Extended Video (max. 20 minutes) or Essay (max. 2000 words),,120,5,expert,,,,"Chondren, Matrix, CAIs, Opak-Phasen, Präsolare Körner, Größenverhältnisse, Precursor, Chondrenbildung",,summative,,,
,,"Herr Hollerbach möchte eine neue Ausstellung über Meteorite und das frühe Sonnensystem machen. Dazu beauftragt er ein paar Studierende mit der Umsetzung. Die Ausstellung soll Jung und Alt von der Welt der Meteorite begeistern, und dabei erklären, was man von diesen über das frühe Sonnensystem lernen kann.
Aufgabe: Ihr seid die beauftragte Studierenden-Gruppe. Konzipiert die Ausstellung und einen kleinen Flyer mit der Ankündigung des neuen Spektakels im Geo-Museum Köln.",,,fundamentals,,research simulation,,Extended Video (max. 20 minutes) or Essay (max. 2000 words),,120,5,expert,,,,"Ausstellungsstücke, Schautafeln, Meteoriten-Klassifikation, Kurze Entstehung des Sonnensystems",,summative,,,